"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
138,"DSS in Given Year","03-18","Socio-economic background","NZDep","9",2163,"NULL",2021,NA
139,"DSS in Given Year","19-44","Socio-economic background","NZDep","NULL",594,"NULL",2021,NA
140,"DSS in Given Year","19-44","Socio-economic background","NZDep","2",789,"NULL",2021,NA
141,"DSS in Given Year","19-44","Socio-economic background","NZDep","5",999,"NULL",2021,NA
142,"DSS in Given Year","19-44","Socio-economic background","NZDep","8",1410,"NULL",2021,NA
143,"DSS in Given Year","65+","Socio-economic background","NZDep","2",156,"NULL",2021,NA
144,"DSS in Given Year","65+","Socio-economic background","NZDep","5",315,"NULL",2021,NA
145,"DSS in Given Year","65+","Socio-economic background","NZDep","8",504,"NULL",2021,NA
146,"DSS in past","03-18","Socio-economic background","NZDep","10",1452,"NULL",2021,NA
147,"DSS in past","19-44","Socio-economic background","NZDep","NULL",1110,"NULL",2021,NA
148,"DSS in past","19-44","Socio-economic background","NZDep","2",663,"NULL",2021,NA
149,"DSS in past","19-44","Socio-economic background","NZDep","5",876,"NULL",2021,NA
150,"DSS in past","19-44","Socio-economic background","NZDep","8",1425,"NULL",2021,NA
151,"DSS in past","45-64","Socio-economic background","NZDep","2",372,"NULL",2021,NA
152,"DSS in past","45-64","Socio-economic background","NZDep","5",519,"NULL",2021,NA
153,"DSS in past","45-64","Socio-economic background","NZDep","8",981,"NULL",2021,NA
154,"DSS in past","65+","Socio-economic background","NZDep","9",840,"NULL",2021,NA
155,"Non-DSS disabled","19-44","Socio-economic background","NZDep","5",2712,"NULL",2021,NA
156,"Non-DSS disabled","19-44","Socio-economic background","NZDep","8",4065,"NULL",2021,NA
157,"Non-DSS disabled","45-64","Socio-economic background","NZDep","9",6207,"NULL",2021,NA
158,"Rest of pop","19-44","Socio-economic background","NZDep","NULL",307749,"NULL",2021,NA
159,"Rest of pop","19-44","Socio-economic background","NZDep","2",122070,"NULL",2021,NA
160,"Rest of pop","19-44","Socio-economic background","NZDep","5",139872,"NULL",2021,NA
161,"Rest of pop","19-44","Socio-economic background","NZDep","8",157185,"NULL",2021,NA
162,"Rest of pop","45-64","Socio-economic background","NZDep","5",108876,"NULL",2021,NA
163,"Rest of pop","45-64","Socio-economic background","NZDep","8",97605,"NULL",2021,NA
164,"Rest of pop","65+","Socio-economic background","NZDep","9",55824,"NULL",2021,NA
165,"DSS in Given Year","19-44","Socio-economic background","Highest qualification (NQF)","NULL",351,"NULL",2021,NA
166,"DSS in Given Year","19-44","Socio-economic background","Highest qualification (NQF)","2",1188,"NULL",2021,NA
167,"DSS in Given Year","19-44","Socio-economic background","Highest qualification (NQF)","5",303,"NULL",2021,NA
168,"DSS in Given Year","19-44","Socio-economic background","Highest qualification (NQF)","8",81,"NULL",2021,NA
169,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","2",240,"NULL",2021,NA
170,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","5",93,"NULL",2021,NA
171,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","8",51,"NULL",2021,NA
172,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","NULL",174,"NULL",2021,NA
173,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","2",1878,"NULL",2021,NA
174,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","5",996,"NULL",2021,NA
175,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","8",180,"NULL",2021,NA
176,"DSS in past","45-64","Socio-economic background","Highest qualification (NQF)","2",837,"NULL",2021,NA
177,"DSS in past","45-64","Socio-economic background","Highest qualification (NQF)","5",474,"NULL",2021,NA
178,"DSS in past","45-64","Socio-economic background","Highest qualification (NQF)","8",198,"NULL",2021,NA
179,"DSS in past","65+","Socio-economic background","Highest qualification (NQF)","9",66,"NULL",2021,NA
180,"Non-DSS disabled","19-44","Socio-economic background","Highest qualification (NQF)","5",3819,"NULL",2021,NA
181,"Non-DSS disabled","19-44","Socio-economic background","Highest qualification (NQF)","8",1284,"NULL",2021,NA
182,"Non-DSS disabled","45-64","Socio-economic background","Highest qualification (NQF)","9",957,"NULL",2021,NA
183,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","NULL",162060,"NULL",2021,NA
184,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","2",134601,"NULL",2021,NA
185,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","5",175896,"NULL",2021,NA
186,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","8",116058,"NULL",2021,NA
187,"Rest of pop","45-64","Socio-economic background","Highest qualification (NQF)","5",100500,"NULL",2021,NA
188,"Rest of pop","45-64","Socio-economic background","Highest qualification (NQF)","8",81075,"NULL",2021,NA
189,"Rest of pop","65+","Socio-economic background","Highest qualification (NQF)","9",20565,"NULL",2021,NA
190,"DSS in past","19-44","Socio-economic background","Total income","NULL",12174,"350197591.00999999",2021,NA
191,"DSS in past","45-64","Socio-economic background","Total income","NULL",7701,"219222278.59999999",2021,NA
192,"DSS in Given Year","19-44","Socio-economic background","Income bands","F:$10,001-$15,000",321,"NULL",2021,NA
193,"DSS in Given Year","19-44","Socio-economic background","Income bands","H:$20,001-$25,000",3777,"NULL",2021,NA
194,"DSS in Given Year","19-44","Socio-economic background","Income bands","N:$60,001-$70,000",42,"NULL",2021,NA
195,"DSS in Given Year","19-44","Socio-economic background","Income bands","Q:$150,001 or More",6,"NULL",2021,NA
196,"DSS in Given Year","45-64","Socio-economic background","Income bands","N:$60,001-$70,000",57,"NULL",2021,NA
197,"DSS in Given Year","45-64","Socio-economic background","Income bands","Q:$150,001 or More",33,"NULL",2021,NA
198,"DSS in Given Year","65+","Socio-economic background","Income bands","J:$30,001-$35,000",369,"NULL",2021,NA
199,"DSS in Given Year","65+","Socio-economic background","Income bands","Q:$150,001 or More",12,"NULL",2021,NA
200,"DSS in past","03-18","Socio-economic background","Income bands","Z:Not Stated",0,"NULL",2021,NA
201,"DSS in past","19-44","Socio-economic background","Income bands","H:$20,001-$25,000",2148,"NULL",2021,NA
202,"DSS in past","19-44","Socio-economic background","Income bands","J:$30,001-$35,000",975,"NULL",2021,NA
203,"DSS in past","19-44","Socio-economic background","Income bands","O:$70,001-$100,000",354,"NULL",2021,NA
204,"DSS in past","45-64","Socio-economic background","Income bands","J:$30,001-$35,000",642,"NULL",2021,NA
205,"DSS in past","45-64","Socio-economic background","Income bands","Q:$150,001 or More",42,"NULL",2021,NA
206,"DSS in past","65+","Socio-economic background","Income bands","H:$20,001-$25,000",1752,"NULL",2021,NA
207,"DSS in past","65+","Socio-economic background","Income bands","N:$60,001-$70,000",39,"NULL",2021,NA
208,"DSS in past","65+","Socio-economic background","Income bands","O:$70,001-$100,000",66,"NULL",2021,NA
209,"Non-DSS disabled","03-18","Socio-economic background","Income bands","E:$5,001-$10,000",435,"NULL",2021,NA
210,"Non-DSS disabled","03-18","Socio-economic background","Income bands","M:$50,001-$60,000",18,"NULL",2021,NA
211,"Non-DSS disabled","19-44","Socio-economic background","Income bands","H:$20,001-$25,000",2835,"NULL",2021,NA
212,"Non-DSS disabled","19-44","Socio-economic background","Income bands","J:$30,001-$35,000",2268,"NULL",2021,NA
213,"Non-DSS disabled","19-44","Socio-economic background","Income bands","O:$70,001-$100,000",3189,"NULL",2021,NA
214,"Non-DSS disabled","65+","Socio-economic background","Income bands","N:$60,001-$70,000",1314,"NULL",2021,NA
215,"Non-DSS disabled","65+","Socio-economic background","Income bands","Q:$150,001 or More",573,"NULL",2021,NA
216,"Rest of pop","19-44","Socio-economic background","Income bands","B:Loss",2286,"NULL",2021,NA
217,"Rest of pop","19-44","Socio-economic background","Income bands","H:$20,001-$25,000",93282,"NULL",2021,NA
218,"Rest of pop","19-44","Socio-economic background","Income bands","J:$30,001-$35,000",91353,"NULL",2021,NA
219,"Rest of pop","19-44","Socio-economic background","Income bands","O:$70,001-$100,000",247263,"NULL",2021,NA
220,"Rest of pop","45-64","Socio-economic background","Income bands","J:$30,001-$35,000",46914,"NULL",2021,NA
221,"Rest of pop","45-64","Socio-economic background","Income bands","Q:$150,001 or More",90969,"NULL",2021,NA
222,"Rest of pop","65+","Socio-economic background","Income bands","N:$60,001-$70,000",25248,"NULL",2021,NA
223,"Rest of pop","65+","Socio-economic background","Income bands","Q:$150,001 or More",17793,"NULL",2021,NA
224,"Rest of pop","65+","Socio-economic background","Income bands","Z:Not Stated",240,"NULL",2021,NA
225,"DSS in Given Year","03-18","Parent SES","Parent 1 highest qual (NQF)","6",669,"NULL",2021,NA
226,"DSS in Given Year","03-18","Parent SES","Parent 1 highest qual (NQF)","9",492,"NULL",2021,NA
227,"DSS in Given Year","19-44","Parent SES","Parent 1 highest qual (NQF)","NULL",3993,"NULL",2021,NA
228,"DSS in Given Year","19-44","Parent SES","Parent 1 highest qual (NQF)","2",876,"NULL",2021,NA
229,"DSS in Given Year","19-44","Parent SES","Parent 1 highest qual (NQF)","5",642,"NULL",2021,NA
230,"DSS in Given Year","19-44","Parent SES","Parent 1 highest qual (NQF)","8",375,"NULL",2021,NA
231,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","10",21,"NULL",2021,NA
232,"DSS in past","19-44","Parent SES","Parent 1 highest qual (NQF)","NULL",3735,"NULL",2021,NA
233,"DSS in past","19-44","Parent SES","Parent 1 highest qual (NQF)","2",987,"NULL",2021,NA
234,"DSS in past","19-44","Parent SES","Parent 1 highest qual (NQF)","5",786,"NULL",2021,NA
235,"DSS in past","19-44","Parent SES","Parent 1 highest qual (NQF)","8",339,"NULL",2021,NA
236,"DSS in past","45-64","Parent SES","Parent 1 highest qual (NQF)","2",18,"NULL",2021,NA
237,"DSS in past","45-64","Parent SES","Parent 1 highest qual (NQF)","5",12,"NULL",2021,NA
238,"DSS in past","45-64","Parent SES","Parent 1 highest qual (NQF)","8",9,"NULL",2021,NA
239,"Non-DSS disabled","19-44","Parent SES","Parent 1 highest qual (NQF)","5",1701,"NULL",2021,NA
240,"Non-DSS disabled","19-44","Parent SES","Parent 1 highest qual (NQF)","8",876,"NULL",2021,NA
241,"Non-DSS disabled","45-64","Parent SES","Parent 1 highest qual (NQF)","9",15,"NULL",2021,NA
242,"Rest of pop","19-44","Parent SES","Parent 1 highest qual (NQF)","NULL",929076,"NULL",2021,NA
243,"Rest of pop","19-44","Parent SES","Parent 1 highest qual (NQF)","2",97395,"NULL",2021,NA
244,"Rest of pop","19-44","Parent SES","Parent 1 highest qual (NQF)","5",63918,"NULL",2021,NA
245,"Rest of pop","19-44","Parent SES","Parent 1 highest qual (NQF)","8",41856,"NULL",2021,NA
246,"Rest of pop","45-64","Parent SES","Parent 1 highest qual (NQF)","5",1899,"NULL",2021,NA
247,"Rest of pop","45-64","Parent SES","Parent 1 highest qual (NQF)","8",1092,"NULL",2021,NA
248,"DSS in Given Year","03-18","Parent SES","Parent 2 highest qual (NQF)","6",624,"NULL",2021,NA
249,"DSS in Given Year","03-18","Parent SES","Parent 2 highest qual (NQF)","9",462,"NULL",2021,NA
250,"DSS in Given Year","19-44","Parent SES","Parent 2 highest qual (NQF)","NULL",4689,"NULL",2021,NA
251,"DSS in Given Year","19-44","Parent SES","Parent 2 highest qual (NQF)","2",663,"NULL",2021,NA
252,"DSS in Given Year","19-44","Parent SES","Parent 2 highest qual (NQF)","5",687,"NULL",2021,NA
253,"DSS in Given Year","19-44","Parent SES","Parent 2 highest qual (NQF)","8",237,"NULL",2021,NA
254,"DSS in past","03-18","Parent SES","Parent 2 highest qual (NQF)","10",39,"NULL",2021,NA
255,"DSS in past","19-44","Parent SES","Parent 2 highest qual (NQF)","NULL",4659,"NULL",2021,NA
256,"DSS in past","19-44","Parent SES","Parent 2 highest qual (NQF)","2",714,"NULL",2021,NA
257,"DSS in past","19-44","Parent SES","Parent 2 highest qual (NQF)","5",729,"NULL",2021,NA
258,"DSS in past","19-44","Parent SES","Parent 2 highest qual (NQF)","8",201,"NULL",2021,NA
259,"DSS in past","45-64","Parent SES","Parent 2 highest qual (NQF)","2",18,"NULL",2021,NA
260,"DSS in past","45-64","Parent SES","Parent 2 highest qual (NQF)","5",9,"NULL",2021,NA
261,"DSS in past","45-64","Parent SES","Parent 2 highest qual (NQF)","8",9,"NULL",2021,NA
262,"Non-DSS disabled","19-44","Parent SES","Parent 2 highest qual (NQF)","5",1734,"NULL",2021,NA
263,"Non-DSS disabled","19-44","Parent SES","Parent 2 highest qual (NQF)","8",525,"NULL",2021,NA
264,"Non-DSS disabled","45-64","Parent SES","Parent 2 highest qual (NQF)","9",21,"NULL",2021,NA
265,"Rest of pop","19-44","Parent SES","Parent 2 highest qual (NQF)","NULL",960486,"NULL",2021,NA
266,"Rest of pop","19-44","Parent SES","Parent 2 highest qual (NQF)","2",72171,"NULL",2021,NA
267,"Rest of pop","19-44","Parent SES","Parent 2 highest qual (NQF)","5",75507,"NULL",2021,NA
268,"Rest of pop","19-44","Parent SES","Parent 2 highest qual (NQF)","8",27738,"NULL",2021,NA
269,"Rest of pop","45-64","Parent SES","Parent 2 highest qual (NQF)","5",2790,"NULL",2021,NA
270,"Rest of pop","45-64","Parent SES","Parent 2 highest qual (NQF)","8",783,"NULL",2021,NA
271,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","F:$10,001-$15,000",228,"NULL",2021,NA
272,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","H:$20,001-$25,000",1071,"NULL",2021,NA
273,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","N:$60,001-$70,000",480,"NULL",2021,NA
274,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","Q:$150,001 or More",141,"NULL",2021,NA
275,"DSS in Given Year","45-64","Parent SES","Parent 1 income bands","N:$60,001-$70,000",0,"NULL",2021,NA
276,"DSS in Given Year","45-64","Parent SES","Parent 1 income bands","Q:$150,001 or More",0,"NULL",2021,NA
277,"DSS in past","19-44","Parent SES","Parent 1 income bands","H:$20,001-$25,000",1029,"NULL",2021,NA
278,"DSS in past","19-44","Parent SES","Parent 1 income bands","J:$30,001-$35,000",636,"NULL",2021,NA
279,"DSS in past","19-44","Parent SES","Parent 1 income bands","O:$70,001-$100,000",813,"NULL",2021,NA
280,"DSS in past","45-64","Parent SES","Parent 1 income bands","J:$30,001-$35,000",27,"NULL",2021,NA
281,"Non-DSS disabled","03-18","Parent SES","Parent 1 income bands","E:$5,001-$10,000",261,"NULL",2021,NA
282,"Non-DSS disabled","03-18","Parent SES","Parent 1 income bands","M:$50,001-$60,000",1023,"NULL",2021,NA
283,"Non-DSS disabled","19-44","Parent SES","Parent 1 income bands","H:$20,001-$25,000",2013,"NULL",2021,NA
284,"Non-DSS disabled","19-44","Parent SES","Parent 1 income bands","J:$30,001-$35,000",1290,"NULL",2021,NA
285,"Non-DSS disabled","19-44","Parent SES","Parent 1 income bands","O:$70,001-$100,000",2163,"NULL",2021,NA
286,"Rest of pop","19-44","Parent SES","Parent 1 income bands","B:Loss",3024,"NULL",2021,NA
287,"Rest of pop","19-44","Parent SES","Parent 1 income bands","H:$20,001-$25,000",79416,"NULL",2021,NA
288,"Rest of pop","19-44","Parent SES","Parent 1 income bands","J:$30,001-$35,000",52242,"NULL",2021,NA
289,"Rest of pop","19-44","Parent SES","Parent 1 income bands","O:$70,001-$100,000",103788,"NULL",2021,NA
290,"Rest of pop","45-64","Parent SES","Parent 1 income bands","J:$30,001-$35,000",3786,"NULL",2021,NA
291,"Rest of pop","45-64","Parent SES","Parent 1 income bands","Q:$150,001 or More",417,"NULL",2021,NA
292,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","F:$10,001-$15,000",159,"NULL",2021,NA
293,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","H:$20,001-$25,000",804,"NULL",2021,NA
294,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","N:$60,001-$70,000",543,"NULL",2021,NA
295,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","Q:$150,001 or More",489,"NULL",2021,NA
296,"DSS in Given Year","45-64","Parent SES","Parent 2 income bands","N:$60,001-$70,000",15,"NULL",2021,NA
